Дата,Россия,США,Германия,Великобритания,Всего,Россия%,США%,Германия%,Великобритания%,Всего%,Доллар США,Евро,Доллар/Евро,Евро/Доллар
5/17/20,281752,1491438,176369,229932,4715641,0.19225656772432617,0.45303458153826925,0.21211122643245342,0.3432163189767672,0.060322293445015676,73.2056,79.1279,0.9251553497565335,1.0808995486684079
5/18/20,290678,1513437,176551,232506,4804359,0.19834732173319689,0.4597169295535809,0.21233010981451436,0.3470584932067404,0.061457170597422936,73.2056,79.1279,0.9251553497565335,1.0808995486684079
5/19/20,299941,1534386,177778,235547,4901497,0.20466803138860457,0.46608033282521893,0.21380576865950765,0.351597751883255,0.0626997560573131,72.9798,78.9422,0.9244713220558839,1.0816993195377351
5/20/20,308705,1557833,178473,238253,5004250,0.21064824292050494,0.4732025208299015,0.21464161454155356,0.3556369606891242,0.0640141683754594,72.3918,79.1677,0.9144108013748032,1.0936003801535532
5/21/20,317554,1583458,179021,240795,5110815,0.2166864551347663,0.48098629136003296,0.21530066999962716,0.35943136896130445,0.0653773436470647,72.3381,79.1813,0.9135755538239458,1.0946002175893477
5/22/20,326448,1606787,179710,242825,5216798,0.22275537359263048,0.48807263605066453,0.21612929994600075,0.36246152190879694,0.06673307399765395,70.924,77.7965,0.9116605502818251,1.096899498054255
5/23/20,335882,1627923,179986,244332,5321424,0.2291927669737291,0.49449284186236636,0.21646123298692832,0.36471099998361034,0.06807144565783296,71.8804,78.4431,0.9163380845479079,1.0913002710057262
5/24/20,344481,1647948,180328,245680,5415901,0.2350603889457523,0.5005755737595715,0.21687254132025163,0.3667231409556398,0.06927999171080959,71.8804,78.4431,0.9163380845479079,1.0913002710057262
5/25/20,353427,1666219,180600,247287,5502250,0.24116479017400205,0.5061255160563922,0.21719966373739769,0.36912188764855625,0.07038456470877183,71.8804,78.4431,0.9163380845479079,1.0913002710057262
5/26/20,362342,1685682,181200,248937,5595501,0.24724803821221425,0.5120375365765073,0.21792125730463155,0.371584819847257,0.07157742781816484,71.5962,77.8823,0.9192871807843374,1.087799352479601
5/27/20,370680,1704217,181524,250739,5698506,0.2529375639713409,0.5176676706945945,0.21831091783093784,0.3742746403454744,0.07289506371035931,71.1408,77.7854,0.9145777999470338,1.093400692710793
5/28/20,379051,1727097,182196,252473,5818020,0.2586496076424429,0.5246176285376933,0.2191191026262398,0.3768629581833818,0.07442388207859124,71.0635,77.9069,0.9121592567538949,1.0962997882175798
5/29/20,387623,1751301,182922,253977,5938915,0.2644988058683043,0.5319697605147197,0.2199922308425928,0.3791079581996521,0.07597036614428564,71.1012,78.2611,0.9085126582682841,1.1007001288304556
5/30/20,396575,1775081,183189,255076,6075869,0.2706073012623678,0.5391930995666817,0.22031333998001187,0.3807484203126049,0.0777222763037886,70.752,78.5489,0.9007382662265161,1.1102004183627319
5/31/20,405843,1794196,183410,256145,6182468,0.2769314227226203,0.5449994126860364,0.220579126943943,0.3823441018401268,0.07908588650205119,70.752,78.5489,0.9007382662265161,1.1102004183627319
6/1/20,414328,1811469,183594,257579,6277971,0.28272125554418287,0.5502462055979177,0.2208004156378947,0.3844846138237249,0.0803075571065097,70.752,78.5489,0.9007382662265161,1.1102004183627319
6/2/20,423186,1832782,183879,259046,6399352,0.2887656090071648,0.5567201763806958,0.22114317258233085,0.38667438445129704,0.08186025806501131,69.7114,77.6376,0.897907714818593,1.1137001982459112
6/3/20,431715,1852680,184121,260388,6517447,0.2945854657113613,0.5627643311517615,0.22143421532111515,0.38867756930624037,0.08337092464128144,68.9831,76.7782,0.8984724830746227,1.1130001406141505
6/4/20,440538,1873943,184472,261622,6644274,0.3006059365404299,0.5692231140896027,0.22185634755794698,0.3905195440536323,0.08499329061671321,68.3413,76.6243,0.8919011331914288,1.1212005039412478
6/5/20,449256,1899008,184924,262727,6775073,0.30655475946775845,0.5768367807564415,0.22239994804526317,0.3921689622836714,0.08666646625928537,69.0151,77.3245,0.8925385873817484,1.1203997386079279
6/6/20,458102,1920581,185450,263518,6909702,0.3125909245991129,0.5833897283328914,0.2230325450725382,0.39334967705286666,0.08838863511060568,68.6319,77.9658,0.8802821237003917,1.1359994404934148
6/7/20,467073,1938302,185750,264235,7021606,0.3187123848515865,0.5887726043354068,0.22339334185615514,0.39441993304466577,0.08982010665936671,68.6319,77.9658,0.8802821237003917,1.1359994404934148
6/8/20,476043,1955778,186109,265321,7124085,0.3248331627430911,0.5940810598977317,0.22382509534055006,0.39604099023726513,0.09113101398033363,68.6319,77.9658,0.8802821237003917,1.1359994404934148
6/9/20,484630,1974024,186506,266474,7248720,0.33069259638348686,0.599623408272084,0.22430254975086983,0.3977620574039937,0.09272533997833042,68.3123,77.1861,0.8850337042550407,1.1299004718037602
6/10/20,493023,1994722,186522,267656,7383167,0.33641965199590584,0.6059105685621391,0.22432179224599605,0.399526412469972,0.09444518069283817,68.6745,77.3481,0.8878627917169264,1.1263001550793963
6/11/20,501800,2017907,186691,268657,7521337,0.34240873422040263,0.6129531722593526,0.2245250411007669,0.4010205913371838,0.09621264587631964,68.6183,77.9229,0.8805922264186781,1.1355993954965364
6/12/20,510761,2042646,187226,269710,7649809,0.34852337086318663,0.6204678141772032,0.22516846203155047,0.4025923898858092,0.09785605462678815,69.1219,78.5225,0.8802814479926137,1.13600031249141
